timestamp,advNo,classify,tradeType,advStatus,priceType,priceFloatingRatio,rateFloatingRatio,currencyRate,price,initAmount,surplusAmount,tradableQuantity,amountAfterEditing,maxSingleTransAmount,minSingleTransAmount,buyerKycLimit,buyerRegDaysLimit,buyerBtcPositionLimit,payTimeLimit,tradeMethods,takerAdditionalKycRequired,isTradable,dynamicMaxSingleTransAmount,minSingleTransQuantity,maxSingleTransQuantity,dynamicMaxSingleTransQuantity,commissionRate,tradeMethodCommissionRates,isSafePayment,userNo,monthOrderCount,monthFinishRate,positiveRate,userType,userGrade,userIdentity,badges,isBlocked,activeTimeInSecond
1729707233,12667282911311589376,mass,BUY,,,,,,10.64,,28135.27,28135.27,,56.0,55.0,,0,,60.0,TigoMoney:TigoMoney,0,True,56.0,5.16,5.26,5.26,0.002,,False,s2be417401d6a39e09c8719af9d6efcc4,10,0.91,1.0,user,2,,,False,244972.0
1729707233,12668017410626519040,profession,BUY,,,,,,10.62,,1883.0,1883.0,,200000.0,1000.0,,0,,15.0,BancoGanadero:BancoGanadero|BancoUnion:BancoUnion|BancoDeCredito:BancoDeCredito|BANK:BANK|BancoSantaCruz:BancoSantaCruz,0,True,19997.46,94.16,18832.39,1883.0,0.001,,False,sf9ca1195743a32e8bc57725b893a9ed3,3177,1.0,1.0,merchant,3,MASS_MERCHANT,Ordinary,False,62.0
1729707233,12580218826631553024,profession,BUY,,,,,,10.61,,11080.94,11080.94,,20000.0,5000.0,,0,,15.0,BancoSantaCruz:BancoSantaCruz|BancoDeCredito:BancoDeCredito|BancoUnion:BancoUnion|BancoGanadero:BancoGanadero|BANK:BANK,0,True,20000.0,471.25,1885.01,1885.01,0.0014,,False,s3fe2df7019063f488018d996cede19e0,713,0.999,0.99568,merchant,3,MASS_MERCHANT,Ordinary,False,35.0
1729707233,12636772021184552960,profession,BUY,,,,,,10.61,,7289.2,7289.2,,20000.0,2000.0,,0,,15.0,BancoDeCredito:BancoDeCredito|BancoDeBolivia:BancoDeBolivia|BancoUnion:BancoUnion|BancoGanadero:BancoGanadero|BANK:BANK,0,True,20000.0,188.5,1885.01,1885.01,0.0014,,False,s5a44c41a1f56336f892e3acceb294bc4,1426,1.0,1.0,merchant,3,MASS_MERCHANT,Ordinary,False,219.0
1729707233,12672992217782591488,profession,BUY,,,,,,10.61,,18710.71,18710.71,,200000.0,20000.0,,0,,15.0,BancoEconomico:BancoEconomico|BancoDeBolivia:BancoDeBolivia|BancoDeCredito:BancoDeCredito|BancoSantaCruz:BancoSantaCruz,0,True,198520.63,1885.01,18850.14,18710.71,0.0016,,False,s67f65d0128af3b3095b20c2073a8e84f,216,0.651,0.90769,merchant,3,MASS_MERCHANT,Ordinary,False,113.0
1729707233,12667798857543049216,mass,BUY,,,,,,10.61,,236.0,236.0,,2503.0,2000.0,,0,,30.0,BancoUnion:BancoUnion|BancoDeBolivia:BancoDeBolivia|BancoEconomico:BancoEconomico,0,True,2503.0,188.5,235.9,235.9,0.002,,False,sc58a43fd333f3347a867b8a996889487,196,1.0,1.0,user,2,,,False,239.0
1729707233,12682394940279341056,mass,BUY,,,,,,10.61,,13366.64,13366.64,,68000.0,10000.0,,0,,15.0,BancoGanadero:BancoGanadero|BancoEconomico:BancoEconomico|BancoSantaCruz:BancoSantaCruz,0,True,68000.0,942.5,6409.04,6409.04,0.002,,False,s7e34a3eacd4430f18326cf3e7aa7304e,49,0.831,1.0,user,2,,,False,349.0
1729707233,12676400443231670272,profession,BUY,,,,,,10.61,,7510.64,7510.64,,200000.0,1000.0,,0,,15.0,BancoGanadero:BancoGanadero|BancoUnion:BancoUnion|BancoEconomico:BancoEconomico|BancoDeBolivia:BancoDeBolivia|BancoDeCredito:BancoDeCredito,0,True,79687.89,94.25,18850.14,7510.64,0.0014,,False,s13a4e25fef4830e8979886c37a566b82,583,0.977,1.0,merchant,3,MASS_MERCHANT,Ordinary,False,3.0
1729707233,12670172082640867328,profession,BUY,,,,,,10.6,,4723.02,4723.02,,140000.0,950.0,,0,,60.0,BANK:BANK|BancoSolidario:BancoSolidario|BancoSantaCruz:BancoSantaCruz|BancoEconomico:BancoEconomico|BancoGanadero:BancoGanadero,0,True,50064.01,89.62,13207.54,4723.02,0.0016,,False,s3aac505033593b078fbc0659aae1f73c,781,0.982,0.98932,merchant,3,MASS_MERCHANT,Ordinary,False,120.0
1729707233,12660841346894360576,profession,BUY,,,,,,10.6,,1981.27,1981.27,,200000.0,1000.0,,0,,15.0,BancoGanadero:BancoGanadero|BancoSantaCruz:BancoSantaCruz|BancoDeBolivia:BancoDeBolivia|BANK:BANK|BancoDeCredito:BancoDeCredito,0,True,21001.46,94.33,18867.92,1981.27,0.0016,,False,s2005cbfe6cf632b38c78012372404458,835,0.973,0.99426,merchant,3,MASS_MERCHANT,Ordinary,False,248.0
1729707233,12680408575031623680,mass,BUY,,,,,,10.6,,42.15,42.15,,600.0,100.0,,0,,15.0,BANK:BANK,0,True,446.79,9.43,56.6,42.15,0.002,,False,s3d6882698aac3bb381e30cba9b2f26dd,17,0.81,1.0,user,2,,,False,17182.0
1729707233,12630574214633943040,mass,BUY,,,,,,10.6,,1720.97,1720.97,,130000.0,500.0,,0,,15.0,BancoDeCredito:BancoDeCredito|BancoGanadero:BancoGanadero|BancoEconomico:BancoEconomico|BANK:BANK,0,True,18242.28,47.16,12264.15,1720.97,0.002,,False,sb378b312713e3edf992256efeb6183fe,472,0.958,0.99705,user,2,,,False,7.0
